,Unnamed: 0,Contract,Difficulty,Work Type,Created,Task Priority,Staff
0,0,Contract 0,Medium,enquiry,1744697291561,Priority 2,Employee 5
1,1,Contract 0,Medium,enquiry,1744697069282,Priority 2,Employee 5
2,2,Contract 1,High,artifacts,1744696073129,Immediate,Employee 4
3,3,Contract 2,Medium,internal,1744694270075,Priority 2,Employee 13
4,4,Contract 0,High,enquiry,1744689840853,Priority 2,Employee 5
5,5,Contract 3,High,internal,1744689536174,Priority 2,Employee 1
6,6,Contract 4,Critical,general,1744687659741,Priority 2,Employee 17
7,7,Contract 0,Medium,internal,1744685641832,Priority 2,Employee 5
8,8,Contract 0,Medium,bug,1744685406730,Priority 2,Employee 5
9,9,Contract 0,High,internal,1744685005158,Immediate,Employee 5
10,10,Contract 2,High,website upgrades,1744683871888,Immediate,Employee 7
11,11,Contract 5,Critical,data-imports,1744682686887,Priority 2,Employee 17
12,12,Contract 0,Medium,internal,1744682182724,Priority 2,Employee 5
13,13,Contract 6,Low,general,1744682064574,Hold Off,Employee 1
14,14,Contract 0,Medium,internal,1744681811685,Priority 2,Employee 5
15,15,Contract 7,High,feature-additions,1744680502637,Priority 2,Employee 1
16,16,Contract 0,Medium,internal,1744674661351,Priority 2,Employee 5
17,17,Contract 8,Critical,artifacts,1744674434085,Immediate,Employee 16
18,18,Contract 9,High,internal,1744603989906,Priority 2,Employee 17
19,19,Contract 10,Critical,billing,1744596914517,Priority 2,Employee 17
20,20,Contract 11,Critical,graphic-design,1744596385276,Immediate,Not Assigned
21,21,Contract 12,Low,general,1744592780200,Priority 2,Employee 17
22,22,Contract 13,High,internal,1744589280062,Immediate,Employee 17
23,23,Contract 14,Medium,artifacts,1744585660851,Priority 2,Employee 13
24,24,Contract 13,Critical,artifacts,1744585097132,Priority 1,Employee 17
25,25,Contract 14,Medium,general,1744584875708,Priority 2,Employee 13
26,26,Contract 1,High,internal,1744339989876,Priority 2,Employee 7
27,27,Contract 15,Medium,general,1744337275726,Hold Off,Employee 11
28,28,Contract 16,High,billing,1744336755558,Priority 2,Employee 17
29,29,Contract 0,Medium,enquiry,1744268321950,Priority 3,Employee 5
30,30,Contract 17,High,data,1744268095737,Priority 2,Employee 17
31,31,Contract 0,Medium,enquiry,1744266512585,Priority 1,Employee 5
32,32,Contract 0,Medium,enquiry,1744264931196,Priority 2,Employee 5
33,33,Contract 18,High,enquiry,1744264463698,Immediate,Employee 9
34,34,Contract 19,Medium,artifacts,1744251624821,Priority 1,Employee 16
35,35,Contract 20,Medium,enquiry,1744251509387,Priority 2,Employee 7
36,36,Contract 0,Low,enquiry,1744250081635,Priority 3,Employee 5
37,37,Contract 21,Critical,general,1744249789702,Immediate,Employee 15
38,38,Contract 0,Low,enquiry,1744249521239,Priority 3,Employee 5
39,39,Contract 0,Medium,enquiry,1744247253936,Priority 2,Employee 5
40,40,Contract 0,Medium,internal,1744246886209,Priority 2,Employee 5
41,41,Contract 0,Medium,enquiry,1744245939401,Priority 2,Employee 5
42,42,Contract 22,Medium,general,1744243108279,Priority 2,Employee 9
43,43,Contract 16,High,general,1744182767705,Priority 2,Employee 13
44,44,Contract 23,Medium,enquiry,1744178871732,Priority 3,Employee 17
45,45,Contract 2,High,artifacts,1744178557096,Immediate,Employee 10
46,46,Contract 0,Medium,enquiry,1744177929725,Priority 1,Employee 5
47,47,Contract 0,Medium,enquiry,1744177436525,Priority 3,Employee 17
48,48,Contract 0,Medium,enquiry,1744177002728,Priority 3,Employee 5
49,49,Contract 0,Medium,enquiry,1744172145412,Priority 3,Employee 5
50,50,Contract 0,Medium,enquiry,1744172026309,Priority 3,Employee 5
51,51,Contract 12,Medium,dashboard,1744167030333,Hold Off,Employee 7
52,52,Contract 12,Critical,dashboard,1744162125853,Priority 2,Employee 7
53,53,Contract 0,Medium,internal,1744149807742,Priority 3,Employee 5
54,54,Contract 24,High,graphic-design,1744097247750,Priority 2,Employee 10
55,55,Contract 24,High,artifacts,1744096008274,Priority 2,Employee 10
56,56,Contract 22,High,internal,1744094200018,Priority 2,Employee 13
57,57,Contract 0,Medium,enquiry,1744093553394,Priority 3,Employee 5
58,58,Contract 24,Critical,dashboard,1744093364178,Priority 2,Employee 10
59,59,Contract 24,High,dashboard,1744093100805,Priority 2,Employee 10
60,60,Contract 24,High,dashboard,1744090352621,Priority 2,Employee 13
61,61,Contract 24,Critical,payement-integration,1744083380767,Priority 2,Employee 10
62,62,Contract 5,High,internal,1744077188297,Priority 2,Employee 13
63,63,Contract 24,Critical,general,1744076768752,Priority 2,Employee 10
64,64,Contract 25,Critical,billing,1744075729135,Priority 2,Employee 17
65,65,Contract 0,Medium,enquiry,1744073862753,Priority 2,Employee 5
66,66,Contract 1,Critical,general,1744072753230,Priority 2,Employee 9
67,67,Contract 0,Medium,enquiry,1744071173764,Priority 2,Employee 5
68,68,Contract 0,Medium,enquiry,1744070728172,Priority 2,Employee 5
69,69,Contract 0,Medium,enquiry,1744070576234,Priority 2,Employee 5
70,70,Contract 0,Medium,enquiry,1744061239191,Hold Off,Employee 5
